Marko	مارکو	1,nomo
esti	to be	1,radiko
as	فعل در زمان حال	1,finaĵo
mi	من	1,pronomo
a	صفت	1,finaĵo
amiko	friend	1,radiko
o	اسم	1,finaĵo
li	(او (مذکر	1,pronomo
lerni	to learn	1,radiko
ant	حال معلوم	1,participo
kaj	و	1,konjunkcio
sporto	sport	1,radiko
ist	profession, habitual association	1,sufikso
nun	حالا	1,adverbo
sidi	to sit	1,radiko
en	در	1,prepozicio
ĉambro	room	1,radiko
sur	روی	1,prepozicio
tablo	table	1,radiko
papero	paper	1,radiko
j	جمع	1,finaĵo
libro	book	1,radiko
ĝi	آن	1,pronomo
skribi	to write	1,radiko
la	حرف تعریف	1,artikolo
patro	father	1,radiko
in	female	1,sufikso
de	از, از روی	1,prepozicio
ne	نه, نفی	1,partikulo
ili	آنها	1,pronomo
labori	to work	1,radiko
hotelo	hotel	1,radiko
instrui	to teach	1,radiko
ŝi	(او (مونث	1,pronomo
havi	to have	2,radiko
n	حالت مفعولی	2,finaĵo
nomo	name	2,radiko
Ana	آنا	2,nomo
juna	young	2,radiko
bela	beautiful	2,radiko
ge	شامل دو جنس	2,prefikso
veni	come	2,radiko
is	فعل در زمان گذشته	2,finaĵo
al	به, در مسیر	2,prepozicio
hejmo	home	2,radiko
bona	good	2,radiko
voli	want	2,radiko
u	فعل امری	2,finaĵo
iri	to go	2,radiko
i	مصدر	2,finaĵo
saluto	hello	2,radiko
kio	what	2,tabelvorto
vi	(شما (می تواند هم مفرد و هم جمع باشد	2,pronomo
fari	to do	2,radiko
legi	to read	2,radiko
sed	اما	2,konjunkcio
paroli	to speak	2,radiko
kun	با	2,prepozicio
ĉu	(آیا (شروع کننده جمله	2,partikulo
jes	بله	2,adverbo
ŝati	to like	2,radiko
nur	فقط	2,adverbo
trinki	to drink	2,radiko
kafo	coffee	2,radiko
frato	brother	2,radiko
jen	ایناهاش	2,partikulo
ankoraŭ	همچنان, هنوز	2,adverbo
varma	warm	2,radiko
kuiri	to cook	2,radiko
danki	to thank	2,radiko
povi	can	2,radiko
ankaŭ	همچنین	2,adverbo
mal	مخالف	2,prefikso
rigardi	to look at	2,radiko
okulo	eye	2,radiko
vidi	to see	2,radiko
ke	که	2,konjunkcio
ami	love	2,radiko
longa	long	3,radiko
e	قید	3,finaĵo
antaŭ	پیش از, جلوی	3,prepozicio
ej	place	3,sufikso
post	پس از	3,prepozicio
ĝoja	glad	3,radiko
tra	از طریق	3,prepozicio
strato	street	3,radiko
tago	day	3,radiko
kuko	cake	3,radiko
ni	ما	3,pronomo
manĝi	to eat	3,radiko
diri	to say	3,radiko
sufiĉa	sufficient	3,radiko
mono	money	3,radiko
kompreni	to understand	3,radiko
ebl	possibility	3,sufikso
cent	صد	3,cifero
dolaro	dollar	3,radiko
ho	اوه	3,interjekcio
riĉa	rich	3,radiko
kelnero	waiter	3,radiko
porti	to carry	3,radiko
multa	many	3,radiko
nova	new	3,radiko
serĉi	to search	3,radiko
unu	یک	3,cifero
loko	place	3,radiko
alia	another	3,radiko
vizaĝo	face	3,radiko
fini	to end	3,radiko
per	با استفاده از, با	3,prepozicio
forta	strong	3,radiko
voĉo	voice	3,radiko
okazi	to happen	3,radiko
scii	to know	3,radiko
letero	letter	4,radiko
vera	true	4,radiko
foto	photo	4,radiko
kiam	when	4,tabelvorto
re	مجدد, دوباره	4,prefikso
el	از, بیرون از	4,prepozicio
rapida	fast	4,radiko
tie	there	4,tabelvorto
stari	to stand	4,radiko
Vera	وِرا	4,nomo
mano	hand	4,radiko
koleri	anger	4,radiko
iĝ	become	4,sufikso
ruĝa	red	4,radiko
fali	to fall	4,radiko
pardoni	to forgive	4,radiko
doni	to give	4,radiko
ricevi	to receive	4,radiko
leciono	lesson	4,radiko
plu	بیشتر, دیگر	4,adverbo
os	فعل در زمان آینده	4,finaĵo
devi	must	4,radiko
fermi	to close	4,radiko
pordo	door	4,radiko
sinjoro	gentleman, Mr.	5,radiko
vendi	to sell	5,radiko
aŭto	car	5,radiko
kiu	who, which	5,tabelvorto
plaĉi	to be pleasing	5,radiko
demandi	to ask	5,radiko
plej	بیشترین	5,adverbo
tiu	that person, that one	5,tabelvorto
ĉi	این	5,partikulo
ĉiu	everyone, every	5,tabelvorto
pli	بیشتر	5,adverbo
ol	نسبت به	5,konjunkcio
tre	خیلی	5,adverbo
certa	certain	5,radiko
kosti	to cost	5,radiko
bedaŭri	to regret	5,radiko
ind	worthy of	5,sufikso
aĉeti	to buy	5,radiko
ĉar	زیرا, چون که	5,konjunkcio
veturi	to travel	5,radiko
dum	طی	5,prepozicio
tio	that	5,tabelvorto
edzo	husband	5,radiko
Maja	مایا	6,nomo
et	small, diminutive	6,sufikso
ul	person	6,sufikso
tri	سه	6,cifero
ig	cause something	6,sufikso
sana	healthy	6,radiko
alta	high	6,radiko
temperaturo	temperature	6,radiko
resti	to remain	6,radiko
morgaŭ	فردا	6,adverbo
voki	to call	6,radiko
doktoro	doctor	6,radiko
je	از, با, در	6,prepozicio
naŭ	نه	6,cifero
horo	hour	6,radiko
por	برای	6,prepozicio
helpi	to help	6,radiko
montri	to show	6,radiko
piedo	foot	6,radiko
vesti	to dress	6,radiko
ĉio	everything	6,tabelvorto
fine	at the end	6,vorto
semajno	week	6,radiko
sub	زیر, تحت	6,prepozicio
teo	tea	6,radiko
mateno	morning	6,radiko
vespero	evening	6,radiko
deziri	to wish	6,radiko
trankvila	calm	6,radiko
farti	feel, be	6,radiko
eg	big, augmentative	6,sufikso
Karlo	کارلو	6,nomo
hm	هم	6,interjekcio
dormi	sleep	7,radiko
suno	sun	7,radiko
subita	suddenly	7,radiko
ek	شروع عمل, ناگهانی	7,prefikso
salti	to jump	7,radiko
ĉiam	always, every time	7,tabelvorto
frua	early	7,radiko
hodiaŭ	امروز	7,adverbo
meti	to put	7,radiko
aĵ	thing, concrete manifestation	7,sufikso
kuri	to run	7,radiko
laŭ	طبق, در امتداد	7,prepozicio
homo	human	7,radiko
kia	what kind of	7,tabelvorto
saĝa	wise	7,radiko
knabo	boy	7,radiko
baldaŭ	به زودی	7,adverbo
it	گذشته مجهول	7,participo
nek	هیچ کدام	7,konjunkcio
pensi	to think	7,radiko
diablo	devil	7,radiko
memori	to remember	7,radiko
dimanĉo	Sunday	7,radiko
raporti	report	8,radiko
noto	note	8,radiko
