Marko	Marc	1,nomo
esti	يكون	1,radiko
as	فعل في المضارع	1,finaĵo
mi	أنا	1,pronomo
a	صفة, نعت	1,finaĵo
amiko	صديق	1,radiko
o	اسم	1,finaĵo
li	هو	1,pronomo
lerni	تعلم	1,radiko
ant	présent actif	1,participo
kaj	و	1,konjunkcio
sporto	رياضة	1,radiko
ist	مهنة	1,sufikso
nun	الآن, حاليا	1,adverbo
sidi	جلس	1,radiko
en	في	1,prepozicio
ĉambro	غرفة	1,radiko
sur	على	1,prepozicio
tablo	طاولة	1,radiko
papero	ورق	1,radiko
j	صيغة الجمع	1,finaĵo
libro	كتاب	1,radiko
ĝi	هذا ( هذا لغير العاقل )	1,pronomo
skribi	يكتب	1,radiko
la	ال	1,artikolo
patro	الأب	1,radiko
in	أنثى	1,sufikso
de	من, من عند	1,prepozicio
ne	لا, ليس	1,partikulo
ili	هم, هن	1,pronomo
labori	عمل	1,radiko
hotelo	فندق	1,radiko
instrui	علم	1,radiko
ŝi	هي	1,pronomo
havi	يملك	2,radiko
n	حالة المفعول به	2,finaĵo
nomo	اسم	2,radiko
Ana	Anne	2,nomo
juna	شاب	2,radiko
bela	جميل	2,radiko
ge	تتعلق بكلا الجنسين	2,prefikso
veni	جاء	2,radiko
is	فعل في الماضي	2,finaĵo
al	إلى, في اتجاه	2,prepozicio
hejmo	منزل	2,radiko
bona	جيد	2,radiko
voli	يريد	2,radiko
u	فعل حتمي	2,finaĵo
iri	يذهب	2,radiko
i	صيغة المصدر, مصدر	2,finaĵo
saluto	سلام	2,radiko
kio	ما, ماذا, الذي	2,tabelvorto
vi	أنت, أنتم, أنتن, أنتما	2,pronomo
fari	يفعل	2,radiko
legi	قرأ	2,radiko
sed	لكن	2,konjunkcio
paroli	يتحدث	2,radiko
kun	مع	2,prepozicio
ĉu	هل	2,partikulo
jes	نعم, أجل	2,adverbo
ŝati	حب	2,radiko
nur	فقط	2,adverbo
trinki	شراب	2,radiko
kafo	قهوة	2,radiko
frato	شقيق, أخ	2,radiko
jen	ها هو	2,partikulo
ankoraŭ	ثاني, ثانية	2,adverbo
varma	حار	2,radiko
kuiri	طبخ	2,radiko
danki	شكر	2,radiko
povi	يستطيع	2,radiko
ankaŭ	أيضا	2,adverbo
mal	نقيض	2,prefikso
rigardi	شاهد	2,radiko
okulo	عين	2,radiko
vidi	يري	2,radiko
ke	أن	2,konjunkcio
ami	حب	2,radiko
longa	طويل	3,radiko
e	ظرف حال	3,finaĵo
antaŭ	قبل, أمام	3,prepozicio
ej	مكان	3,sufikso
post	بعد	3,prepozicio
ĝoja	فرح	3,radiko
tra	عبر	3,prepozicio
strato	شارع	3,radiko
tago	يوم	3,radiko
kuko	كعكة	3,radiko
ni	نحن	3,pronomo
manĝi	أكل	3,radiko
diri	أقول	3,radiko
sufiĉa	كاف	3,radiko
mono	فلوس, مال	3,radiko
kompreni	فهم	3,radiko
ebl	possibilité	3,sufikso
cent	مئة	3,cifero
dolaro	دولار	3,radiko
ho	يا	3,interjekcio
riĉa	غني	3,radiko
kelnero	الخادم	3,radiko
porti	احذر, إ نتبه	3,radiko
multa	كثير	3,radiko
nova	جديد	3,radiko
serĉi	بحث	3,radiko
unu	واحد	3,cifero
loko	مكان	3,radiko
alia	آخر	3,radiko
vizaĝo	وجه	3,radiko
fini	ينهى	3,radiko
per	بواسطة, ب	3,prepozicio
forta	قوى	3,radiko
voĉo	صوت	3,radiko
okazi	حدث	3,radiko
scii	علم	3,radiko
letero	حرف	4,radiko
vera	حقيقي	4,radiko
foto	صور	4,radiko
kiam	quand	4,tabelvorto
re	من جديد	4,prefikso
el	من, بعيدا عن	4,prepozicio
rapida	بسرعة	4,radiko
tie	là	4,tabelvorto
stari	قائم	4,radiko
Vera	Vera	4,nomo
mano	يد	4,radiko
koleri	غضب	4,radiko
iĝ	يصبح	4,sufikso
ruĝa	أحمر	4,radiko
fali	سقط	4,radiko
pardoni	غفر	4,radiko
doni	أعطى	4,radiko
ricevi	تسلم, تلقى	4,radiko
leciono	درس	4,radiko
plu	إضافة	4,adverbo
os	فعل في المستقبل	4,finaĵo
devi	واجب	4,radiko
fermi	أغلق	4,radiko
pordo	باب	4,radiko
sinjoro	سيد	5,radiko
vendi	بيع	5,radiko
aŭto	سيارة	5,radiko
kiu	qui	5,tabelvorto
plaĉi	يعجب	5,radiko
demandi	تطلب	5,radiko
