Marko	Marko	1,nomo
esti	to be	1,radiko
as	Verb in present tense	1,finaĵo
mi	I	1,pronomo
a	Adjective	1,finaĵo
amiko	friend	1,radiko
o	Noun	1,finaĵo
li	he	1,pronomo
lerni	to learn	1,radiko
ant	present active	1,participo
kaj	and	1,konjunkcio
sporto	sport	1,radiko
ist	profession, habitual association	1,sufikso
nun	now	1,adverbo
sidi	to sit	1,radiko
en	in	1,prepozicio
ĉambro	បន្ទប់	1,radiko
sur	on	1,prepozicio
tablo	តារាង	1,radiko
papero	ក្រដាស	1,radiko
j	Plural	1,finaĵo
libro	book	1,radiko
ĝi	it	1,pronomo
skribi	to write	1,radiko
la	the	1,artikolo
patro	ឪពុក	1,radiko
in	female	1,sufikso
de	of, from	1,prepozicio
ne	no, not	1,partikulo
ili	they	1,pronomo
labori	to work	1,radiko
hotelo	សណ្ឋាគារ	1,radiko
instrui	to teach	1,radiko
ŝi	she	1,pronomo
havi	to have	2,radiko
n	Accusative case	2,finaĵo
nomo	ឈ្មោះ	2,radiko
Ana	Ana	2,nomo
juna	young	2,radiko
bela	ស្រស់ស្អាត	2,radiko
ge	pertaining of both sexes	2,prefikso
veni	មក	2,radiko
is	Verb in past tense	2,finaĵo
al	to, in the direction of	2,prepozicio
hejmo	home	2,radiko
bona	ល្អ	2,radiko
voli	want	2,radiko
u	Imperative verb	2,finaĵo
iri	to go	2,radiko
i	Infinitive	2,finaĵo
saluto	hello	2,radiko
kio	what	2,tabelvorto
vi	you (can be both singular and plural)	2,pronomo
fari	to do	2,radiko
legi	to read	2,radiko
sed	but	2,konjunkcio
paroli	to speak	2,radiko
kun	with	2,prepozicio
ĉu	whether (starts questions)	2,partikulo
jes	yes	2,adverbo
ŝati	to like	2,radiko
nur	only	2,adverbo
trinki	to drink	2,radiko
kafo	កាហ្វេ	2,radiko
frato	brother	2,radiko
jen	here is	2,partikulo
ankoraŭ	still, yet	2,adverbo
varma	warm	2,radiko
kuiri	to cook	2,radiko
danki	to thank	2,radiko
povi	can	2,radiko
ankaŭ	also	2,adverbo
mal	opposite	2,prefikso
rigardi	to look at	2,radiko
okulo	eye	2,radiko
vidi	to see	2,radiko
ke	that	2,konjunkcio
ami	love	2,radiko
longa	long	3,radiko
e	Adverb	3,finaĵo
antaŭ	before, in front of	3,prepozicio
ej	place	3,sufikso
post	after	3,prepozicio
ĝoja	glad	3,radiko
tra	through	3,prepozicio
strato	តាមផ្លូវ	3,radiko
tago	day	3,radiko
kuko	នំ	3,radiko
ni	we	3,pronomo
manĝi	to eat	3,radiko
diri	to say	3,radiko
sufiĉa	sufficient	3,radiko
mono	ប្រាក់	3,radiko
kompreni	to understand	3,radiko
ebl	possibility	3,sufikso
cent	មួយ​រយ	3,cifero
dolaro	dollar	3,radiko
ho	oh	3,interjekcio
riĉa	សម្បូរបែប	3,radiko
kelnero	waiter	3,radiko
porti	to carry	3,radiko
multa	មនុស្សជាច្រើន	3,radiko
nova	ថ្មី	3,radiko
serĉi	to search	3,radiko
unu	មួយ	3,cifero
loko	place	3,radiko
alia	ផ្សេងទៀត	3,radiko
vizaĝo	face	3,radiko
fini	to end	3,radiko
per	by means of, with	3,prepozicio
forta	strong	3,radiko
voĉo	voice	3,radiko
okazi	to happen	3,radiko
scii	to know	3,radiko
letero	letter	4,radiko
vera	true	4,radiko
foto	photo	4,radiko
kiam	when	4,tabelvorto
re	again, re-	4,prefikso
el	from, out of	4,prepozicio
rapida	fast	4,radiko
tie	there	4,tabelvorto
stari	to stand	4,radiko
Vera	Vera	4,nomo
mano	hand	4,radiko
